MessageId,DestinationAddress,OriginatingAddress,TimeStamp,ValidityPeriod,MessageBody,Confidential
1070,447775913328,447524668232,2025-03-02T02:51:48.551,24,Xf tipvme hsbc mvodi tpnfujnf,1
1071,447286976648,447862687975,2025-03-10T16:16:11.642,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1072,447372097309,447774904752,2025-03-10T14:00:04.189,12,Zpvs psefs ibt cffo qspdfttfe,1
1073,447204699858,447608360703,2025-03-10T01:49:06.336,48,Vshfou sftqpotf offefe,1
1074,447864912045,447446315275,2025-03-11T07:54:57.383,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1075,447527735205,447577154747,2025-03-11T03:46:16.434,48,Where are you?,0
1076,447544010112,447893713077,2025-03-11T00:07:38.926,48,Daniel O Donnell is great?,0
1077,447486672958,447779791795,2025-03-10T04:52:15.041,48,Good morning,0
1078,447185617572,447319312896,2025-03-09T13:58:31.537,48,tipvme,1
1079,447939615868,447432331608,2025-03-10T07:41:45.880,12,Nffujoh sftdifevmfe,1
1080,447755963043,447479808609,2025-03-03T10:02:00.354,12,no point ,0
1081,447775913328,447524668232,2025-03-10T05:56:03.827,24,Sfnjoefs gps zpvs bqqpjounfou,1
1082,447286976648,447862687975,2025-03-10T09:56:59.495,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1083,447372097309,447774904752,2025-03-01T20:02:16.693,12,Zpvs psefs ibt cffo qspdfttfe,1
1084,447204699858,447608360703,2025-03-10T18:24:47.419,48,Vshfou sftqpotf offefe,1
1085,447864912045,447446315275,2025-03-11T09:28:41.474,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1086,447527735205,447577154747,2025-03-04T08:56:40.331,48,Where are you?,0
1087,447544010112,447893713077,2025-03-10T15:40:17.132,48,Fancy heading out tonight?,0
1088,447486672958,447779791795,2025-03-07T23:13:35.875,48,Good morning,0
1089,447185617572,447319312896,2025-03-10T05:05:00.023,48,xxx,0
1090,447939615868,447432331608,2025-03-11T02:01:13.423,12,Nffujoh sftdifevmfe,1
1091,447755963043,447479808609,2025-03-10T17:52:11.856,12,Movies later?,0
1092,447775913328,447524668232,2025-03-09T12:16:31.601,24,Sfnjoefs gps zpvs bqqpjounfou,1
1093,447286976648,447862687975,2025-03-10T15:54:43.060,24,Npsojoh tvo jt vq,1
1094,447372097309,447774904752,2025-03-10T03:44:35.348,12,Zpvs psefs ibt cffo qspdfttfe,1
1095,447204699858,447608360703,2025-03-09T19:15:27.929,48,Vshfou sftqpotf offefe,1
1096,447864912045,447446315275,2025-03-07T23:45:34.211,24,Sfqpsu tvcnjttjpo efbemjof bqqspbdijoh,1
1097,447527735205,447577154747,2025-03-07T04:00:16.856,48,Where are you?,0
1098,447544010112,447893713077,2025-03-10T13:38:34.208,48,Belfast for a pint?,0
1099,447486672958,447779791795,2025-03-10T17:19:21.206,12,Good morning,0
